name,address,experience,skills,sal_from,sal_to
Data Scientist,Томск,От 3 до 6 лет,"Spark, Hive, MLFlow, ML, AirFlow, MLOps, Forecasting",300000,370000
Data scientist (Персонализация),Москва,От 1 года до 3 лет,"Python, Spark, Oracle, Airflow, Superset, Docker",280000,290000
Data Scientist,Москва,От 3 до 6 лет,"уверенное знание Python (библиотеки: NumPy, Pandas, Scikit-learn, Keras, PyTorch); знания в области машинного обучения и статистики, а также понимание основных алгоритмов ML, используемых в NLP; понимание основных принципов обработки естественного языка, включая токенизацию, лемматизацию, стемминг, извлечение сущностей и классификацию текста; знание основных алгоритмов обучения моделей (линейная регрессия, логистическая регрессия, деревья решений, SVM и Naive Bayes); понимание основных аспектов предобработки текстовых данных: очистка данных, удаление стоп-слов, приведение к нижнему регистру, устранение шума, нормализация текста; знание основных методов оценки моделей, таких как кросс-валидация, ROC-кривые, Precision-Recall кривые, confusion matrix и прочее; опыт обучения моделей глубоких нейронных сетей, понимание архитектур и основных принципов.",90000,140000
"Middle Data Scientist (рекомендательные системы, классификация)",Казань,От 1 года до 3 лет,"Python, SQL, Pandas, sklearn, PyTorch, PySpark",270000,370000
"Machine learning engineer, Middle/Senior",Москва,Нет опыта,"Linux, Git, Bash, Docker",180000,190000
Промт инженер/data scientist (удаленно),Москва,От 3 до 6 лет,"Big Data, Английский язык, Data Mining, Организаторские навыки, Обучение и развитие, Прогнозирование, Работа с большим объемом информации, Работа с базами данных, Аналитические исследования, Data Analysis, Аналитическое мышление",100000,150000
Data Scientist / Machine Learning Engineer,Москва,От 3 до 6 лет,"Успешный опыт построения крупных nlp-based продуктов   Опыт работы с трансформерами  Технологический стек: python + pytorch, spark, docker, git, linux ",180000,230000
Аналитик данных,Москва,От 3 до 6 лет,"Python, SQL, Математическая статистика, Big Data, ML",270000,320000
Senior Data scientist,Москва,От 1 года до 3 лет,"Python, PySpark, ML, NLP, A/B тестирование",210000,240000
Data Engineer,Новосибирск,От 3 до 6 лет,"SQL, Python, ETL, ELT, СУБД, Airflow, dbt, ClickHouse, GreenPlum, Spark, Kafka, Kubernetes",300000,370000
Middle/Senior Data Scientist,Москва,От 3 до 6 лет,"Python, bash, git, SQL, Hadoop",180000,210000
Machine learning Engineer / ML Engineer,Санкт-Петербург,От 3 до 6 лет,"Triton, Python, PyTorch, Git",130000,150000
Data Scientist (nlp),Москва,От 3 до 6 лет,"ML, Python, CatBoost, STT, ASR, LabelStudio",150000,180000
"Data Scientist (Deep Learning), Рекомендации и персонализация",Москва,От 3 до 6 лет,"IT, Разработка поисковых технологий, data science, Python, Deep Learning, Алгоритмы и структуры данных",120000,150000
Data Scientist / Machine Learning Engineer в команду рекомендаций и машинного обучения,Санкт-Петербург,От 1 года до 3 лет,"Python, Machine Learning, Анализ данных, Математическая статистика, Pandas, Numpy, Hadoop",100000,200000
Senior Data Scientist,Санкт-Петербург,От 3 до 6 лет,"SQL, Python, Pandas, ML, machine learning, обучение модели, машинное обучение, NLP, CV, Computer Vision, нейронная сеть",300000,350000
Руководитель направления DS,Московская область,От 3 до 6 лет,"Управление командой, Анализ данных, A/B тесты, Data scientist",180000,190000
Руководитель направления по машинному обучению и анализу больших данных,Москва,Более 6 лет,"Управление командами, Hadoop, Big Data",95000,145000
Data Scientist,Нижний Новгород,От 1 года до 3 лет,"NLP, LLM, Python, PyTorch, Seq2Seq, BERT, T5",180000,230000
Data Scientist,Нижний Новгород,От 1 года до 3 лет,"Python, SQL, Pandas, Git, OCR, CV",280000,330000
Data Engineer,Москва,От 1 года до 3 лет,"Знание SQL на продвинутом уровне (аналитические функции, подзапросы, хранимые процедуры, оптимизация запросов); Отличное знание Python/Scala и библиотеки pySpark; Знание основных понятий и концепций Data Warehousing и Big Data; Опыт разработки ETL-процессов; Опыт работы с большими объемами данных, построения хранилищ и витрин данных; Опыт работы со стеком технологий Big Data (Hadoop, Spark, Hive/Impala, Kafka)",100000,150000
Data Engineer,Томск,От 3 до 6 лет,"MS SQL, PostgreSQL, Java, Базы данных, Hadoop, MySQL, REST, SCALA, API, REST API, SOAP, Python, HDFS, S3, Spark, Airflow, dbt, Data Lakehouse",240000,280000
ML-инженер,Москва,От 3 до 6 лет,"Основной язык: Python, C++. Основной ML фрэймворк: Pytorch. Опыт переноса ML пайплайна с Python на C++. Системы разметки данных для CV: CVAT (или другая подобная). Библиотеки обработки изображений и тензоров: OpenCV, numpy, pillow. Запуск ML модели в продакшн под CPU: Onnx, OnnxRuntime, OpenVino. Общие инструменты разработки: Git, Docker",105000,125000
Data Scientist,Москва,От 1 года до 3 лет,"Python, numpy, pytorch, hadoop, PySpark, SQL",130000,160000
Data-scientist,Москва,Более 6 лет,"ensorflow, pytorch, CUDA, SQL",210000,240000
Research Engineer DL/ML,Москва,От 1 года до 3 лет,"PyTorch, ML, Machine Learning, Линейная алгебра, Python, базовая статистика, Написание научных статей",180000,210000
Data Scientist (Моделирование рисков корпоративного кредитования),Москва,От 1 года до 3 лет,"Python, SQL",270000,370000
Data scientist (ML),Екатеринбург,От 3 до 6 лет,"Python, Machine Learning, SQL, A/B тесты, Docker, Git",150000,200000
Data Scientist / ML engineer,Екатеринбург,От 1 года до 3 лет,"Python, NLP, machine learning, Linux, Docker, Data science, Deep learning, MLFlow, Извлечение сущностей, Поисковые алгоритмы, Git",210000,240000
Senior Data Science,Москва,От 3 до 6 лет,Уметь выкладывать свой код в кластер кубернетес Python - хороший уровень кода Docker - уметь заворачивать решения в контейнер Pytorch - для нейронных сетей FastAPI - для создания REST сервисов по взаимодействию с моделью OpenCV Linux Ubuntu Triton inference server + onnx для инференса,200000,300000
Специалист в группу технического сопровождения,Екатеринбург,От 1 года до 3 лет,"MS SQL, PostgreSQL, API, Базы данных, Техническая поддержка",130000,230000
Data Scientist (middle),Москва,От 1 года до 3 лет,"Python, Numpy, pandas, sklearn, SQL, ML",120000,190000
Дата-инженер (Motion Prediction),Москва,От 3 до 6 лет,"Python, Spark, Dagster, S3, Kafka, Kubernetes",280000,310000
ML engineer,Санкт-Петербург,От 1 года до 3 лет,"Python, SQL, ML, Science, RecSys, PostgreSQL, Анализ данных, Machine Learning, Data Science",210000,280000
Machine Learning Engineer (NLP/LLM),Тюмень,От 3 до 6 лет,"Python, SQL, Английский язык, ML, Машинное обучение, NLP, GPT",100000,170000
Data Scientist (middle),Московская область,От 1 года до 3 лет,"Python, SQL, API",200000,230000
Data Scientist,Московская область,От 3 до 6 лет,"Python, SQL, Pandas, Аналитическое мышление, Базы данных, Machine Learning, Аналитические исследования, Машинное обучение, ML, BigQuery, Greenplum, Clickhouse, Spark",150000,180000
ML Engineer (Рекомендательные системы),Новосибирск,От 3 до 6 лет,"RecSys, рекомендательная система, ml, Python",300000,330000
Machine Learning Engineer,Екатеринбург,От 3 до 6 лет,"Python, Machine Learning, Linux",60000,90000
Data Scientist (middle),Сочи,От 1 года до 3 лет,"Python, SQL, API",300000,370000
Data Scientist,Казань,От 3 до 6 лет,"Опыт Python разработчика (pytorch, opencv), знание ООП, git, numpy, pandas, sklearn",300000,330000
Team Lead DS,Москва,От 3 до 6 лет,"Python, SQL, Анализ данных, Teamleading",100000,150000
Data Engineer,Тюмень,От 3 до 6 лет,"Python, SQL, Apache Airflow, СlickHouse",250000,400000
Machine Learning Engineer (удаленно),Санкт-Петербург,От 3 до 6 лет,"Pytorch, Tensorflow",280000,290000
Аналитик данных,Владивосток,От 1 года до 3 лет,"Анализ данных, Умение работать в коллективе, Python, SQL, MS Excel, Linux",300000,320000
Data Scientist,Москва,От 1 года до 3 лет,"Уверенное владение Python; Понимание принципа работы и построения базовых алгоритмов ML\DL (классический ML, CNN, RNN, Transformer, RL, RecSys, LLM)",100000,200000
Data Science,Москва,От 1 года до 3 лет,"NCL, NPV, RBP, Python, SQL",270000,300000
Data Engineer,Нижний Новгород,От 3 до 6 лет,"GreenPlum, ClickHouse, AirFlow, Python, Debezium, Yandex Cloud, DBT, SQL",180000,200000
Эксперт Группа аналитики и моделирования (Data scientist),Москва,От 1 года до 3 лет,"Python, Математическое моделирование, Математическая статистика, SQL, Machine Learning, Машинное обучение, Data Mining",200000,230000
Data Scientist в команду аукциона,Москва,От 3 до 6 лет,"Python, Big Data, Математическая статистика, Математический анализ, Аналитические исследования, Математическое моделирование, Machine Learning",210000,310000
Архитектор данных,Москва,От 3 до 6 лет,"Базы данных, Моделирование бизнес процессов, Моделирование процессов, Системное мышление, Проектная деятельность, SQL запросы, Cистемы управления базами данных, Внимательность к деталям, способность работать с большими массивами информации, модели данных",280000,330000
Эконометрист / Data scientist,Москва,От 3 до 6 лет,Уверенное владение R или Python (pandas/numpy/sklearn),120000,220000
Аналитик-математик (команда Ранжирования),Тюмень,От 3 до 6 лет,"SQL, Python, Аналитическое мышление, Математический анализ, Математическая статистика, Работа с большим объемом информации, Математическое моделирование",150000,200000
Middle Python Developer,Москва,От 1 года до 3 лет,Уверенное владение R или Python (pandas/numpy/sklearn),300000,320000
Data Scientist,Москва,От 3 до 6 лет,"Уверенное владение Python. Опыт работы с библиотеками и фреймворками Data Science, такими как pandas, sklearn, scipy, matplotlib, catboost и др. Знание основ статистического анализа и его применение. Опыт проведения A/B тестирования. Понимание классических методов и алгоритмов машинного обучения, с опытом их применения на практике. Базовые навыки SQL запросов. Опыт работы с Git и Docker.  Будет плюсом:  Опыт работы с MLflow / KubeFlow / ClearML. Знание GitLab CI/CD. Опыт работы с Airflow / Argo",280000,330000
Data инженер,Москва,От 1 года до 3 лет,"SQL, Python",120000,130000
Analytics Engineer в команду Experimentation platform,Москва,От 1 года до 3 лет,"Python, ClickHouse, SQL, Airflow",180000,210000
MLOps/ML Инженер,Новосибирск,От 3 до 6 лет,"Вы знаете основные Machine Learning алгоритмы, умеете использовать numpy, pandas, scipy, matplotlib и готовы работать с ключевыми ML библиотеками (XGBoost, Scikit-learn, LightGBM); Обладаете уверенным знанием Python и опытом разработки API (Flask Django, FastAPI); Пользуетесь инструментами командной строки в linux-системах; Есть опыт работы с opensource MLOps решениями (AirFlow, MLFlow, Seldon Core или их аналогами); Используете Docker в повседневной работе и применяете DevOps практики (git, CI/CD); Понимаете, в чем отличие Kafka от RabbitMQ; Уверенно пользуетесь SQL и обладаете опытом работы с реляционными СУБД (например, PostgreSQL)",150000,220000
Data Scientist (Middle),Московская область,От 1 года до 3 лет,"знание математической статистики; Python (pandas, sklearn, xgboost, lightgbm, matplotlib etc.); Отличное знание SQL; Владение инструментами из стека Hadoop (Hive, Spark); Опыт работы с Git, Confluence",180000,230000
Data Engineer,Тюмень,От 1 года до 3 лет,"Hadoop, SQL",100000,150000
ML engineer,Москва,От 3 до 6 лет,"Желателен опыт в решении ML-задач из банковского сектора (скоринги, кредитные риски и пр.) Опыт лидирования стримов с технической точки зрения, управления командой DS и ML-специалистов; Опыт и решенные практические задачи с использованием методов ML и DL (Python) Опыт работы с системами больших данных (Spark), Понимание общей культуры современной разработки: Git, работа по спринтам в SAFe фреймворке",180000,210000
ML-инженер,Москва,От 1 года до 3 лет,"Python, SQL, Big Data, Machine Learning, ML",150000,220000
Менеджер по управлению данными,Нижний Новгород,От 1 года до 3 лет,DAMA DMBOK,180000,230000
Data Scientist,Новосибирск,От 3 до 6 лет,"Python, PySpark, Big Data, Machine Learning",120000,140000
Data analyst,Москва,От 1 года до 3 лет,"PostgreSQL, ClickHouse, PowerBI, Python, A/B тесты",180000,210000
